location,type,name
image_007.webp,0,Moon
image_010.webp,0,Moon
image_030.webp,0,Moon
image_036.webp,0,Moon
image_018.webp,0,Moon
image_062.webp,0,Moon
image_027.webp,0,Moon
image_024.webp,0,Moon
image_028.webp,0,Moon
image_017.webp,0,Moon
image_001.webp,0,Moon
image_040.webp,0,Moon
image_026.webp,0,Moon
image_035.webp,0,Moon
image_056.webp,0,Moon
image_033.webp,0,Moon
image_012.webp,0,Moon
image_060.webp,0,Moon
image_011.webp,0,Moon
image_053.webp,0,Moon
image_013.webp,0,Moon
image_049.webp,0,Moon
image_045.webp,0,Moon
image_052.webp,0,Moon
image_016.webp,0,Moon
image_048.webp,0,Moon
image_044.webp,0,Moon
image_039.webp,0,Moon
image_037.webp,0,Moon
image_014.webp,0,Moon
image_005.webp,0,Moon
image_004.webp,0,Moon
image_006.webp,0,Moon
image_022.webp,0,Moon
image_061.webp,0,Moon
image_003.webp,0,Moon
image_041.webp,0,Moon
image_050.webp,0,Moon
image_020.webp,0,Moon
image_031.webp,0,Moon
image_047.webp,0,Moon
image_059.webp,0,Moon
image_019.webp,0,Moon
image_034.webp,0,Moon
image_046.webp,0,Moon
image_009.webp,0,Moon
image_038.webp,0,Moon
image_042.webp,0,Moon
image_021.webp,0,Moon
image_029.webp,0,Moon
image_015.webp,0,Moon
image_063.webp,0,Moon
image_057.webp,0,Moon
image_032.webp,0,Moon
image_051.webp,0,Moon
image_058.webp,0,Moon
image_043.webp,0,Moon
image_064.webp,0,Moon
image_055.webp,0,Moon
image_023.webp,0,Moon
image_008.webp,0,Moon
image_002.webp,0,Moon
image_054.webp,0,Moon
image_025.webp,0,Moon
Alcor_and_Mizar.webp,1,Alcor and Mizar
IMG_3058.webp,1,Vega
Altair.webp,1,Altair
IMG_3409.webp,1,Pleiades
Sirius(03).webp,1,Sirius
Sirius(02).webp,1,Sirius
Sirius(01).webp,1,Sirius
IMG_3453.webp,2,"NGC 6888, the Crescent Nebula"
Ring_Nebulae(01).webp,2,"M57, the Ring Nebula"
Ring_Nebulae(02).webp,2,"M57, the Ring Nebula"
IMG_3451.webp,2,"NGC 7023, the Iris Nebula"
M110.webp,2,M110
IMG_3448.webp,2,Andromeda Galaxy
IMG_2925.webp,2,The Dumbbel Nebula
Tsuchinshan-ATLAS.webp,2,C/2023 A3 (Tsuchishan-ATLAS)
IMG_3452.webp,2,The Helix Nebula
M13.webp,2,"M13, Hercule's Cluster"
Andromede.webp,2,Andromeda Galaxy
IMG_3447.webp,2,Triangulum Galaxy
processed.webp,3,Milky-Way
962351E9-46EC-453A-9E8F-AF80298616E6.webp,3,Milky-Way
processed2.webp,3,Milky-Way
Saturn(01).webp,4,Saturn
Saturn(02).webp,4,Saturn
Jupiter.webp,4,Jupiter
